genome_id,superkingdom,phylum,class,order,family,genus,species
RS_GCF_900104705.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Agrococcus,Agrococcus carbonis
RS_GCF_002075285.3,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,Halomicronema_B,Halomicronema_B hongdechloris
RS_GCF_000380225.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Spirulinaceae,ESFC-1,ESFC-1 sp000380225
RS_GCF_900108585.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermatophilaceae,Branchiibius,Branchiibius hedensis
RS_GCF_003217495.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus barcinonensis
RS_GCF_001597745.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Trichormus,Trichormus sp001597745
GB_GCA_005884005.1,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,13-2-20CM-68-14,13-2-20CM-68-14 sp005884005
GB_GCA_012033335.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,JAAURB01,JAAURB01 sp012033335
GB_GCA_002346675.1,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,UBA8229,AB-629-J13,AB-629-J13 sp002346675
RS_GCF_013096935.1,Bacteria,Firmicutes,Bacilli,Brevibacillales,Brevibacillaceae,Brevibacillus,Brevibacillus sp003388715
RS_GCF_002257645.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp002257645
RS_GCF_004365055.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia phenazinium_C
RS_GCF_900167605.1,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Caloramatoraceae,Caloramator_B,Caloramator_B quimbayensis
RS_GCF_014171595.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Massilia,Massilia sp014171595
RS_GCF_000526435.1,Bacteria,Firmicutes_A,Mahellia_A,Caldicoprobacterales,Caldicoprobacteraceae,Caldicoprobacter,Caldicoprobacter oshimai
GB_GCA_004299065.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Geitlerinemaceae,Phormidium_A,Phormidium_A sp004299065
RS_GCF_001429545.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_E,Paenibacillus_E sp001429545
RS_GCF_003351145.1,Bacteria,Deinococcota,Deinococci,Deinococcales,Thermaceae,Meiothermus,Meiothermus sp003351145
GB_GCA_011053565.1,Bacteria,Deinococcota,Deinococci,Deinococcales,Thermaceae,Thermus,Thermus islandicus_A
GB_GCA_001567505.1,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,OLB17,OLB17 sp001567505
GB_GCA_010027605.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,RGUW01,RGUW01 sp010027605
RS_GCF_900112225.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Massilia,Massilia yuzhufengensis
RS_GCF_004359985.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia sp004359985
RS_GCF_002531935.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium sp002531935
GB_GCA_003486025.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Glutamicibacter,Glutamicibacter sp003486025
RS_GCF_900103825.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_E,Paenibacillus_E sp900103825
RS_GCF_002026165.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp002026165
RS_GCF_006715285.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter sp006715285
GB_GCA_900548165.1,Bacteria,Firmicutes_C,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio,Anaerovibrio sp900548165
RS_GCF_003226535.1,Bacteria,Deinococcota,Deinococci,Deinococcales,Thermaceae,Meiothermus_B,Meiothermus_B sp003226535
RS_GCF_900770525.1,Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,UBA1221,UBA1221 sp900770525
RS_GCF_900099835.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia fungorum_A
RS_GCF_012926525.1,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium_AM,Clostridium_AM sp012926525
RS_GCF_900199695.1,Bacteria,Firmicutes,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia sp900199695
GB_GCA_014382565.1,Bacteria,Marinisomatota,UBA8477,UBA8477,UBA8477,JABMPR01,JABMPR01 sp014382565
GB_GCA_002339265.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Massilia,Massilia sp002339265
RS_GCF_001955855.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp001955855
GB_GCA_003566335.1,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,PXDR01,PXDR01 sp003566335
RS_GCF_900207585.1,Bacteria,Firmicutes,Bacilli,Bacillales_B,Caldibacillaceae_A,Bacillus_BF,Bacillus_BF oleivorans
RS_GCF_004001025.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus amylolyticus
RS_GCF_003635165.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia sp003635165
GB_GCA_903879335.1,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,CAIYLH01,CAIYLH01 sp903879335
RS_GCF_002097715.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia mesoacidophila
RS_GCF_000214075.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus
GB_GCA_000447245.1,Bacteria,Zixibacteria,MSB-5A5,MSB-5A5,RBG-1,RBG-1,RBG-1 sp000447245
RS_GCF_001544755.2,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia catudaia
RS_GCF_000314005.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Spirulinaceae,Spirulina_A,Spirulina_A subsalsa
GB_GCA_003220935.1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,20CM-4-69-16,20CM-4-69-16 sp003220935
GB_GCA_003209565.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003209565
RS_GCF_000332335.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Oscillatoriaceae_A,PCC-10802,PCC-10802 sp000332335
GB_GCA_900319365.1,Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,UBA2813,UBA2813 sp900319365
GB_GCA_014360195.1,Bacteria,Firmicutes_G,SHA-98,UBA4971,UBA4971,UBA6256,UBA6256 sp014360195
GB_GCA_012520095.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Acidaminobacteraceae,DUVM01,DUVM01 sp012520095
RS_GCF_004339745.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia sp004339745
GB_GCA_005792225.1,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,SXSP01,SXSP01 sp005792225
GB_GCA_003280985.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003280985
GB_GCA_002347855.1,Bacteria,Marinisomatota,UBA2242,UBA2242,UBA2242,UBA2242,UBA2242 sp002347855
RS_GCF_001548115.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,Geminocystis,Geminocystis sp001548115
RS_GCF_003182255.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_T,Paenibacillus_T cellulosilyticus
RS_GCF_001428075.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter sp001428075
GB_GCA_014378195.1,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,Oligoflexus,Oligoflexus sp014378195
RS_GCF_004000865.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_G,Paenibacillus_G elgii
RS_GCF_000092045.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium etli
RS_GCF_900162695.1,Bacteria,Firmicutes,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus siamensis
GB_GCA_002345215.1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,EnvOPS12,OLB14,OLB14 sp002345215
GB_GCA_014640295.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_D,Paenibacillus_D abyssi
RS_GCF_007280555.1,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus sp007280555
RS_GCF_003268025.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_Z,Paenibacillus_Z montanisoli
GB_GCA_002705055.1,Bacteria,Planctomycetota,UBA1135,UBA1135,UBA1135,GCA-2705055,GCA-2705055 sp002705055
RS_GCF_000022045.1,Bacteria,Cyanobacteria,Cyanobacteriia,Thermosynechococcales,Thermosynechococcaceae,Cyanothece,Cyanothece sp000022045
RS_GCF_002204185.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium esperanzae
RS_GCF_000758685.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus stellifer
GB_GCA_003280935.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003280935
RS_GCF_003945345.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_Z,Paenibacillus_Z baekrokdamisoli
RS_GCF_000402035.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia insecticola
RS_GCF_000503775.1,Bacteria,Firmicutes,Bacilli,Brevibacillales,Brevibacillaceae,Brevibacillus,Brevibacillus panacihumi_A
RS_GCF_001664485.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium sp001664485
RS_GCF_014489415.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Raphidiopsis,Raphidiopsis curvispora_A
RS_GCF_005765165.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_AE,Paenibacillus_AE antri
GB_GCA_002148405.1,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,MUGG01,MUGG01 sp002148405
RS_GCF_900766135.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_A,Paenibacillus_A sp900766135
GB_GCA_002697225.1,Bacteria,Poribacteria,WGA-4E,WGA-4E,UBA9662,UBA9662,UBA9662 sp002697225
RS_GCF_003600225.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,QZFT01,QZFT01 sp003600225
RS_GCF_001950325.1,Bacteria,Firmicutes_B,Desulfotomaculia,Carboxydothermales,Carboxydothermaceae,Carboxydothermus,Carboxydothermus islandicus
RS_GCF_001399685.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_G,Paenibacillus_G sp001399685
RS_GCF_000740675.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Massilia,Massilia sp000740675
GB_GCA_004402895.1,Bacteria,Marinisomatota,SORT01,SORT01,SORT01,SORT01,SORT01 sp004402895
RS_GCF_002216005.1,Bacteria,Firmicutes_D,Natranaerobiia,Natranaerobiales,Natranaerobiaceae,Natranaerobius_A,Natranaerobius_A trueperi
RS_GCF_013135345.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermatophilaceae,Yimella,Yimella sp013135345
GB_GCA_903970185.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,CAJCIC01,CAJCIC01 sp903970185
RS_GCF_000739815.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia mimosarum
GB_GCA_012719015.1,Bacteria,Actinobacteriota,Thermoleophilia,UBA2241,UBA2241,CAIXSE01,CAIXSE01 sp012719015
RS_GCF_000517105.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Fischerella,Fischerella sp000517105
GB_GCA_004556505.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-83,CAG-83 sp001916855
RS_GCF_007680605.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus xylanexedens_B
RS_GCF_000484535.1,Bacteria,Cyanobacteria,Cyanobacteriia,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Gloeobacter kilaueensis
GB_GCA_003280995.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003280995
GB_GCA_002813895.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,Cyanobacterium,Cyanobacterium sp002813895
GB_GCA_003280095.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,AG-363-J23,AG-363-J23 sp003280095
RS_GCF_001443045.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia ambifaria_A
RS_GCF_004005475.1,Bacteria,Firmicutes,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia taxi
GB_GCA_003023695.1,Bacteria,Firmicutes_E,Sulfobacillia,Sulfobacillales,Sulfobacillaceae,Sulfobacillus_C,Sulfobacillus_C benefaciens_A
RS_GCF_000771745.2,Bacteria,Deinococcota,Deinococci,Deinococcales,Thermaceae,Thermus_A,Thermus_A filiformis
RS_GCF_000012625.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Synechococcus_E,Synechococcus_E sp000012625
GB_GCA_007280205.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax,Rhodoferax sp007280205
GB_GCA_003213255.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003213255
GB_GCA_002439285.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_A,Paenibacillus_A sp002439285
RS_GCF_011326735.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermatophilaceae,Phycicoccus,Phycicoccus endophyticus
RS_GCF_012276575.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium leguminosarum_O
RS_GCF_000230915.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus lactis
RS_GCF_002968015.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Massilia,Massilia phosphatilytica
GB_GCA_002170825.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Synechococcus_E,Synechococcus_E sp002170825
RS_GCF_902499045.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia latens
RS_GCF_900116445.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia aspalathi
GB_GCA_009836025.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Synechococcus_B,Synechococcus_B sp009836025
RS_GCF_001187535.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium ecuadorense
RS_GCF_900102085.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus polysaccharolyticus
RS_GCF_000332055.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Xenococcus,Xenococcus sp000332055
RS_GCF_001577305.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Sinomonas,Sinomonas atrocyanea
RS_GCF_000013225.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-7336,JA-3-3Ab,JA-3-3Ab,JA-3-3Ab sp000013225
GB_GCA_903935205.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Cyanobium,Cyanobium sp903935205
RS_GCF_003574355.1,Bacteria,Deinococcota,Deinococci,Deinococcales,Thermaceae,Meiothermus,Meiothermus granaticius
RS_GCF_014212055.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella,Cohnella sp014212055
RS_GCF_001399675.1,Bacteria,Firmicutes,Alicyclobacillia,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_B,Alicyclobacillus_B ferrooxydans
GB_GCA_003258725.1,Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,UBA6984,UBA6984 sp003258725
RS_GCF_900086655.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_A,Paenibacillus_A tuaregi
RS_GCF_000962805.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter chlorophenolicus_A
RS_GCF_903644065.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,CAHJXF01,CAHJXF01 sp903644065
